trace	total.br.len	tree.height
mean	1131.78028030573	149.169380238146
stderr.of.mean	1.22405348248434	0.235906034851169
stdev	36.2957816759736	8.68206863705534
variance	1317.38376746994	75.37831581854
median	1131.11593953013	148.739976872102
mode	numeric	numeric
geometric.mean	1131.20025194262	148.918775442809
HPD95.lower	1057.75573356082	133.999174698662
HPD95.upper	1197.29978561613	168.596166811396
ACT	NA	NA
ESS	879.737008185614	1355.21958600671
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
