trace	total.br.len	tree.height
mean	143.4395062532	47.0177412434112
stderr.of.mean	0.092506189488031	0.0138460348368783
stdev	3.48861680768368	0.545309455668872
variance	12.1704472308531	0.297362402441882
median	143.379176394705	46.9714964128347
mode	numeric	numeric
geometric.mean	143.39717927397	47.0145940488013
HPD95.lower	136.907659629686	46.005994482458
HPD95.upper	150.375589448396	47.9779482058969
ACT	NA	NA
ESS	1423.00457272778	1551.94583119627
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
