trace	total.br.len	tree.height
mean	1623.78928619654	236.281747227542
stderr.of.mean	2.49085221130709	0.487417113337281
stdev	58.7791881841414	17.1410206381331
variance	3454.99296358671	293.814588516906
median	1623.97931364899	235.601491318513
mode	numeric	numeric
geometric.mean	1622.72593948544	235.663727517763
HPD95.lower	1511.24863077928	203.492097226063
HPD95.upper	1739.74521421524	268.777867891787
ACT	NA	NA
ESS	557.17623967257	1237.40865907737
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
