trace	total.br.len	tree.height
mean	3775.23891338129	395.262652948355
stderr.of.mean	7.18970251295882	0.932278907066823
stdev	165.859860378757	28.1485604419404
variance	27509.4932848609	792.34145495357
median	3766.25211031596	392.545717193868
mode	numeric	numeric
geometric.mean	3771.61945295446	394.27589058718
HPD95.lower	3472.59981795658	344.92730044012
HPD95.upper	4113.36703502881	448.767142030586
ACT	NA	NA
ESS	532.478516858314	912.141055233446
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
