trace	total.br.len	tree.height
mean	5589.61738505688	1299.79376840688
stderr.of.mean	19.2841958123972	7.54524417197863
stdev	645.895597014582	302.963041485525
variance	417181.122242824	91786.6045061602
median	5492.7018664307	1242.06623047182
mode	numeric	numeric
geometric.mean	5555.44494121793	1269.93663135133
HPD95.lower	4579.50931538973	835.405190512496
HPD95.upper	6862.80463667128	1856.3180541442
ACT	NA	NA
ESS	1122.4394556035	1613.14738619255
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
