trace	total.br.len	tree.height
mean	550.635544200699	55.6726364818466
stderr.of.mean	1.10601919269769	0.0648632985186483
stdev	27.171078466484	2.24690664296707
variance	738.267505031831	5.04858946220953
median	549.328002793421	55.4846611980758
mode	numeric	numeric
geometric.mean	549.97171098409	55.6278205925445
HPD95.lower	497.296562465438	51.4367224517163
HPD95.upper	602.175524017821	59.847710614311
ACT	NA	NA
ESS	603.850970190458	1200.64146441254
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
