trace	total.br.len	tree.height
mean	552.712253890267	55.6658958927438
stderr.of.mean	1.02738748739438	0.0634668300592634
stdev	26.0415944183973	2.2895377538152
variance	678.164639852304	5.24198312614516
median	552.155362307201	55.5795369003041
mode	numeric	numeric
geometric.mean	552.100795727167	55.6193291488117
HPD95.lower	505.826693143962	51.2266279803066
HPD95.upper	606.44358057444	59.8744456404088
ACT	NA	NA
ESS	642.847469978282	1302.09702182545
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
