trace	total.br.len	tree.height
mean	549.25975353675	55.5449728693346
stderr.of.mean	0.943157230951651	0.0570371158188586
stdev	25.9367180487487	2.21291492636736
variance	672.713343140287	4.89699247133945
median	548.620845017375	55.4471039430791
mode	numeric	numeric
geometric.mean	548.651314500165	55.5012070448899
HPD95.lower	496.785596908264	51.2828104187175
HPD95.upper	597.199454940933	59.9244146657677
ACT	NA	NA
ESS	756.6641991679	1506.10643815803
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
