simulation	mean	HPD95.lower	HPD95.upper	stdev	ESS
al2_0	1.34360400461835	1.29022837720407	1.39649390767818	0.026848636017501	1801
al2_1	0.290971719290215	0.226076764019994	0.34962456022678	0.0312561076579632	1351.18809873212
al2_10	0.0620895713586757	0.0247160676782287	0.105416018909266	0.021381387190772	1461.06763575642
al2_100	0.309879300305675	0.286847143840323	0.3301799796431	0.0111269409310973	1801
al2_101	1.25350291778495	1.15890298540839	1.35185433602101	0.0494368236477054	1705.67349243335
al2_102	1.48856992884127	1.45700798795232	1.51582236468104	0.015186675029758	1801
al2_103	1.12555628103227	1.05689827015759	1.19726528026308	0.0365280636376959	1223.2300300209
al2_11	0.885479533198305	0.778731418257913	0.988796202407894	0.0535711177848284	1640.05318241849
al2_12	1.27706742052522	1.21623625590421	1.34814746079028	0.0340285994910641	1360.59857215016
al2_13	0.72654068745592	0.699927222286005	0.755018407520006	0.014198691096694	1663.68443500124
al2_14	0.311796371339988	0.279004834497372	0.342506118970155	0.0166288425651918	1540.81949181673
al2_15	2.70719211511466	2.63453054024664	2.77461585556745	0.0363104159373713	1801
al2_16	0.214426782899087	0.159097046674848	0.269862507931876	0.0293813783168906	1801
al2_17	1.68633057293524	1.6407179673054	1.7307337305404	0.0228627521530026	1653.7520215083
al2_18	0.898630502771388	0.780592332273195	1.01609387545465	0.0595760694891961	1673.1269735402
al2_19	0.940605608911207	0.886716442630718	0.99802085784611	0.0283335835299343	1801
al2_2	0.937651448432925	0.846906074300801	1.02962369831885	0.0465010645472704	1643.99486152557
al2_20	0.773694505598094	0.70603379954839	0.847378409673463	0.0364902301681326	1614.56727576956
al2_21	1.77000401263239	1.65730454307369	1.8828103485237	0.0588176029253613	1801
al2_22	0.594981980609146	0.572467183677483	0.616320338487486	0.0115785367947164	1762.23583071114
al2_23	2.02659697836441	1.96516808283487	2.08759959140517	0.0318186539106845	1765.45450873148
al2_24	0.52531816676291	0.395466810167081	0.667279743973966	0.0729301217533547	1801
al2_25	0.931300592094368	0.889963389370789	0.971317332959068	0.0209590364442383	1801
al2_26	0.904668019193896	0.787001423571717	1.02840241494836	0.063024007194285	1801
al2_27	1.64993040330051	1.51422645619923	1.79538946695138	0.0745071113650145	1645.55540768917
al2_28	1.37981621018963	1.28435327200053	1.47069346563125	0.0480278833968225	1659.74880613867
al2_29	1.39763325437182	1.29778069463944	1.47771957634895	0.0457372276839339	1722.63452471507
al2_3	2.03158164047702	1.98171832789482	2.07450169985824	0.0236343749794496	1801
al2_30	1.09208063713422	0.877185678070088	1.29469815299262	0.106575331345057	1604.48543142292
al2_31	1.18408535704117	1.14868589131018	1.22258206834909	0.0189375746341493	1696.10775420331
al2_33	0.852502549219516	0.697378901549832	0.992172142949298	0.0736310553312407	1801
al2_34	0.900489944161783	0.872134628216426	0.927687504860244	0.0141845263922453	1507.18951779773
al2_35	0.464706666056407	0.447534036316646	0.481410204632306	0.00882374655059361	1679.1776244266
al2_36	1.35497472065513	1.17812264007584	1.52799756481817	0.090929722815287	1801
al2_37	0.508211151356936	0.479827551040479	0.536725643810386	0.0147620313475168	1619.84293561206
al2_38	0.523219622210689	0.432128584568019	0.628896456252921	0.0502773707654698	1801
al2_39	0.883517183242781	0.850389390277121	0.917152139864504	0.0171675557625642	1634.48221255563
al2_4	1.07873689976514	1.03373479529725	1.12108021082475	0.022135269473616	1426.29553049439
