simulation	true.val	mean	HPD95.lower	HPD95.upper	stdev	ESS	is.in
al2_0	0.359695017249228	0.373400129945911	0.345841033587026	0.399409179728507	0.0140522814645318	1680.04843524082	TRUE
al2_1	0.14341346595128987	0.155977815255816	0.130025327847062	0.181322516452125	0.0130763164729576	1758.28879560699	TRUE
al2_10	0.04768696152010254	0.0477988369434998	0.0329845143826003	0.0670241065988776	0.00882694683615133	1567.30172498111	TRUE
al2_100	0.22179431365809077	0.229528342375353	0.195354378837813	0.265259041514653	0.0179318447163715	1801	TRUE
al2_101	0.2228317455801183	0.234972374078386	0.203085618331676	0.270145682635289	0.0172333285886275	1801	TRUE
al2_102	0.09174900372682218	0.0993401544208449	0.0913163517101117	0.107775077358408	0.00424779569157373	1801	TRUE
al2_103	0.2190784223436356	0.203252198871699	0.177751257041729	0.231732070514117	0.0139944374493682	1794.07379560812	TRUE
al2_11	0.3756355287764773	0.39489440463048	0.357803083613392	0.436894116114967	0.0199768424323384	1762.4220493148	TRUE
al2_12	0.4736082959652225	0.494420230230338	0.453665568026502	0.539925165270404	0.0221326472534421	1801	TRUE
al2_13	0.08686711711428609	0.0822191084518234	0.0762428720697263	0.0875455758842631	0.00297286876501109	1801	TRUE
al2_14	0.21631743207626553	0.214500440703223	0.181724931352596	0.247496249904804	0.0167930724621843	1765.52482844645	TRUE
al2_15	0.20889952636872938	0.261207313481048	0.204529962485879	0.317520269414023	0.0282489067342076	1801	TRUE
al2_16	0.3284408343563839	0.310638374350882	0.26729697768847	0.355363500567548	0.0229725198518385	1637.35510779529	TRUE
al2_17	0.12644570105912165	0.13381985252233	0.116781768338249	0.148422634565764	0.00815185883466456	1801	TRUE
al2_18	0.17510399489876255	0.181734056825089	0.144306078276303	0.228187244469067	0.0215806208437447	1765.30083182334	TRUE
al2_19	0.0791669189869171	0.076568217822921	0.0591426789983517	0.0950240221737708	0.00932362083540303	1681.15323040392	TRUE
al2_2	0.2408396926234938	0.255794185192709	0.21488770077839	0.298435856991807	0.0216649619919603	1801	TRUE
al2_20	0.33313443309419444	0.335549829627858	0.298377667696165	0.368868688248612	0.0180995556567996	1713.67240033179	TRUE
al2_21	0.312218169561136	0.353104235901481	0.294034058979051	0.406049289157574	0.0286460685010229	1763.25279005015	TRUE
al2_22	0.1780518394674538	0.178136585391254	0.171619730002663	0.184986284851753	0.00347628277938663	1801	TRUE
al2_23	0.22415961545650798	0.210761034737804	0.173921298785017	0.246415154639495	0.0185435712549131	1801	TRUE
al2_24	0.48523702400577706	0.516474097076342	0.4656971267071	0.57227315517667	0.0275594009777573	1801	TRUE
al2_25	0.15841835710869578	0.163777463765266	0.14906908431534	0.177846650416	0.00740170381917466	1523.33399086144	TRUE
al2_26	0.12317405945147124	0.133947782253787	0.102901928004833	0.169084398568241	0.0168408676072804	1801	TRUE
al2_27	0.016148861144794833	0.0220745538150343	0.00824140032451723	0.0392923760013988	0.00825284726856106	1801	TRUE
al2_28	0.3853237584638296	0.411118361979452	0.360088680911504	0.462111126606553	0.0264159363405036	1790.26417455172	TRUE
al2_29	0.50989406188335	0.515508782930384	0.484903172606725	0.552384011835303	0.017577960817491	1801	TRUE
al2_3	0.23631533333086427	0.231975610886261	0.201175923131859	0.264977494570117	0.0165283339611108	1690.5905361612	TRUE
al2_30	0.21891648820296278	0.232500271832747	0.187022614590502	0.283140690753165	0.0251010274052201	1393.86759751522	TRUE
al2_31	0.2883018615823736	0.2896575908014	0.272619821805374	0.304328929113181	0.00813834991550221	1801	TRUE
al2_33	0.09718946079637081	0.107770212879437	0.0758252509371389	0.14272965927307	0.0173448871693329	1801	TRUE
al2_34	0.26613751791732765	0.258312254598056	0.244287714554122	0.272154002967778	0.00703156188293618	1575.14930761927	TRUE
al2_35	0.10281231462086698	0.10646871425534	0.0995546897230014	0.11296476568522	0.00341630924789798	1486.6411722096	TRUE
al2_36	0.24667636898256942	0.23195068224472	0.185912652738232	0.28004219672029	0.0249883531312631	1174.66082645576	TRUE
al2_37	0.34288663339405784	0.343159519077378	0.322281839085571	0.361834138709092	0.00995285345677348	1801	TRUE
al2_38	0.25136283707072266	0.275609421240418	0.236355315524305	0.316674737668511	0.0206084136136644	1780.99363061735	TRUE
al2_39	0.5157050104322723	0.514665675733254	0.500252889966405	0.527206573193027	0.0069454538918285	1798.92385431477	TRUE
al2_4	0.10904158786649194	0.114754068598546	0.102292315834919	0.128527409677068	0.00680606910545226	1801	TRUE
al2_40	0.27589496823475435	0.265965067531124	0.220437498372269	0.307975521132613	0.0223249558737801	1560.61729053198	TRUE
al2_41	0.2473456407889074	0.259106714562413	0.231033295074593	0.282977058894328	0.0134167576214091	1609.26128039809	TRUE
al2_42	0.17775276717214022	0.206185190442038	0.157773784995235	0.251698289946958	0.0238847614141536	1797.3188876133	TRUE
al2_43	0.722794463811247	0.732845478024658	0.68105562358179506	0.784594743589848	0.0263743040214395	1622.20778858313	TRUE
al2_44	0.2423328210946129	0.240989825398164	0.205457850730241	0.277910845121241	0.0187007521512592	1801	TRUE
al2_45	0.19172160609778383	0.194992214661303	0.157580570035309	0.233583603918812	0.0198635329255156	1801	TRUE
