simulation	mean	HPD95.lower	HPD95.upper	stdev	ESS
al2_90	0.47751138115198	0.415923381820252	0.531711979505257	0.0295939337716915	1801
al2_91	0.313866822882394	0.293507297458411	0.33733740338373	0.0112801477684124	1801
al2_92	0.320677528390107	0.268597604486666	0.377828406050335	0.0284364790932599	1613.1586448472
al2_93	0.486495887894787	0.477462513865305	0.495922285337763	0.00476195570090601	1801
al2_94	0.397140243162142	0.368850023657611	0.423076299489335	0.0135260147508166	1801
al2_95	0.0911139787821369	0.074175421642644	0.109624214813405	0.0091605034654237	1460.97397000231
al2_96	0.120081910047986	0.0828925964476439	0.159435752994135	0.0202318435180771	1801
al2_97	0.238842119528734	0.214206835276017	0.26260304768931	0.0127864449032304	1374.54102654901
al2_98	0.199075673950426	0.171590737073608	0.223746408212034	0.0133028270930758	1753.85324876143
al2_99	0.222266033892545	0.206296519187715	0.237949390364879	0.00803800076724687	1641.81565283598
