fn	fn.sel	mu	Theta	r_0	r_1	r_2	psi.treeLength	psi.height
al2_32	al2_100	172.35664391171	739.584340157769	1801	1801	1559.18326016924	1059.03763720781	1653.11078371582
al2_76	al2_101	162.707753301043	579.095768575813	1801	1788.27196500391	1592.4653345974	1510.4436207321	1753.28551266348
al2_88	al2_102	37.91925795222	38.6565017945703	135.057910576384	191.289943572465	171.214773191837	44.4387335103509	73.838038423458
