simulation	mean	HPD95.lower	HPD95.upper	stdev	ESS
al2_46	0.424059888984169	0.384093195596156	0.458836907429187	0.0195376797013808	1790.81792579994
al2_47	0.412228830890181	0.357181534576142	0.465038009041037	0.0276567763993288	1801
al2_48	0.664054376968638	0.642774187561089	0.683988379078576	0.0107052021086062	1801
al2_49	0.348180360088898	0.311902055602748	0.386442368252477	0.018989018000773	1756.42053518381
al2_5	0.221411692854865	0.20317121784956	0.239280076994569	0.00936619306517423	1801
al2_50	0.203466928471347	0.195456157837609	0.211844714925951	0.00411262651016143	1738.12223189728
al2_51	0.152119543452471	0.124594142074553	0.177820695890963	0.0135915464346992	1687.1578504122
al2_52	0.120894457269789	0.0927781243337023	0.149944046054351	0.0145836264478841	1727.9516740583
al2_53	0.313203505175024	0.296854755600817	0.332009999789946	0.00911348531686212	1801
al2_54	0.573317769375108	0.518407912812532	0.626142903199326	0.0280651985564391	1537.65762334185
al2_55	0.330257849974645	0.32056277182579	0.339972727298446	0.0050034753498938	1529.86889734122
al2_56	0.0660194807368144	0.039215899718647	0.0938930454675522	0.0142913782926351	1666.41502072847
al2_57	0.641359280729508	0.602266671762021	0.678598683500463	0.0200217654280599	1684.74052282094
al2_58	0.123896383551724	0.119499537223629	0.128399768968928	0.00227574448159549	1801
al2_59	0.108015934475342	0.0935697573430658	0.122183367563115	0.00734109715738208	1801
al2_6	0.182832453460807	0.1415219864267	0.220670698029011	0.0205205698043527	1710.03534816751
al2_60	0.23611621790137	0.189781403882336	0.282201693622803	0.0244465435210705	1801
al2_61	0.247260273404743	0.240931640586726	0.254267520960837	0.00346908013335433	1111.19576224201
al2_62	0.300738059931192	0.288165067883942	0.312666313374529	0.00642739953615414	1801
al2_63	0.33997928826354	0.289113892053192	0.396478935789066	0.0276033981971896	1673.17235041463
al2_64	0.0267259402880018	0.0108369216671934	0.0457862964089131	0.00939414155152711	1801
al2_65	0.300661342430944	0.262041353982022	0.340637488251803	0.0205422090294508	1720.15701398999
al2_66	0.0433995705529715	0.0272816794014255	0.0591252267868645	0.00821026079482018	1801
al2_67	0.184570853282909	0.139485578668808	0.230523400956038	0.0238801020480837	1495.14699996239
al2_68	0.212795411978067	0.198813350048368	0.225666084007045	0.00697242862287613	1309.18618655237
al2_69	0.136047956306988	0.104219166835934	0.173108507707372	0.0179076934697309	1801
al2_70	0.344553535306209	0.285442589808293	0.408748296311774	0.0322250021641672	1386.74898624165
al2_71	0.082435213963996	0.0592654518610972	0.106555485863339	0.0122880989441933	1801
al2_72	0.210983544905205	0.167486039683636	0.257197317783221	0.0230810161122216	1801
al2_73	0.193045836670144	0.172246180386706	0.212382560754695	0.0101411532718899	1762.13816516527
al2_74	0.612402650861698	0.568668604099296	0.660509457933846	0.0229519872816426	1801
al2_75	0.10011941981455	0.0675587451253907	0.135498287840425	0.017550907009419	1801
al2_77	0.173502689542485	0.137195918902696	0.217873659254737	0.0210381740817438	1801
al2_78	0.142743100651905	0.102840004347984	0.181176252029294	0.019747950247815	1801
al2_79	0.122025642984603	0.113219443126451	0.130464488017597	0.00452833654179626	1801
al2_8	0.599543109065056	0.56577928288134	0.628128167857622	0.0159487596145668	1801
al2_80	0.209236777146155	0.190694533346796	0.228847473736828	0.00991297355546948	1801
al2_81	0.358290360495503	0.340613736064001	0.374641079428485	0.00877022891930954	1776.5726811426
al2_82	0.110890760636339	0.0820576189387835	0.137274992821493	0.0141448882646058	1801
al2_83	0.583491132978483	0.538618999013225	0.62423612194427	0.0222904155201523	1801
al2_84	0.287504134509903	0.241572019381649	0.334446208248644	0.0238153469992142	1622.7157019719
al2_85	0.114644584269861	0.0748373656297544	0.15121553343161	0.0200239959066342	1801
al2_86	0.245963166669186	0.22180683215101	0.269328534463155	0.0121408847208395	1801
al2_87	0.133705115950544	0.12474292972443	0.142290741161077	0.00448283149456187	1801
al2_89	0.0415037116380577	0.0231008180708508	0.0595689178415231	0.00943329350696465	1801
al2_9	0.115136362785229	0.109897748843961	0.120021028962999	0.00263162499172785	1788.5509031122
al2_90	0.30359299365797	0.250332410783901	0.358391857461044	0.0270995701673519	1283.14421125866
al2_91	0.195534168491467	0.176418089756244	0.217397440658633	0.0105636151462111	1801
al2_92	0.182942978352043	0.139210010927416	0.227446451859466	0.0230786125762933	1801
al2_93	0.305302020978395	0.293878251802478	0.317970628900136	0.0061333837567608	1733.17734903211
al2_94	0.169661938781857	0.151989864517428	0.18755045559948	0.00930084367699715	1689.08588855777
al2_95	0.308565081062021	0.286367295470847	0.330971206599985	0.0115687711061197	1801
al2_96	0.377014953774681	0.317303531790522	0.434023986796561	0.0303259454099159	1539.05628099495
al2_97	0.385490533145256	0.358959418315248	0.414052134961768	0.0140008166189689	1801
al2_98	0.147683312973521	0.12677043479195	0.168935446790084	0.0109752481454144	1698.10140584244
al2_99	0.2255237857615	0.210915191396612	0.242239598064522	0.00808195768424391	1639.54737878461
